Feature,Coefficient
Intercept,-32884475.176225793
Base_Fert,-120887461.40156496
Base_Rain,437.184343940974
Base_Yield,1.111216230880018
Rainfall_Anomaly,69064.89353894575
Subsidy_Index,135351733.78248084
Zone_Central Highlands,59178.52575649474
Zone_Coastal Humid,24222.275583019527
Zone_Coastal Mixed,18833.16359960199
Zone_High Altitude,98398.59147474347
Zone_Lake Basin,16942.293326596515
Zone_Rift Valley,16920.65517209606
Zone_Semi-Arid,1086.1595422556263
Zone_Urban Mixed,31408.088300406584
Zone_Western High Rainfall,65457.47783638183
